gcr.io/google-containers/hyperkube-s390x v1.10.10 {'date': '20181114', 'ok': True, 'digest': u'sha256:59fba1067e9679ecebe03b36df1a341d96350d9d5cfae7036bb77316216b079e', 'err': 'None'}
gcr.io/google-containers/hyperkube-s390x v1.6.5 {'date': '20170730', 'ok': True, 'digest': u'sha256:ae14d3899202cdf5181f1bac5cae2ce3e860d920f32bbcad2b622c8723742a5e', 'err': 'None'}
gcr.io/google-containers/hyperkube-s390x v1.6.4 {'date': '20170730', 'ok': True, 'digest': u'sha256:d73c1d2b0d37cb46a7cbbea95bc03576f13a98d1f09a6da0cd3b6863f62ff80a', 'err': 'None'}
gcr.io/google-containers/hyperkube-s390x v1.6.9 {'date': '20170824', 'ok': True, 'digest': u'sha256:a6ffcc708c009b2d9189ea21f20876e521ca129257a535c0d584317713224ccc', 'err': 'None'}
gcr.io/google-containers/hyperkube-s390x v1.6.8 {'date': '20170805', 'ok': True, 'err': 'None', 'digest': u'sha256:141f364322454ca1784c493c486a790fb7b92b4ccfa6182b29f25fcf267c4ea4'}
gcr.io/google-containers/hyperkube-s390x v1.7.0-beta.0 {'date': '20170730', 'ok': True, 'digest': u'sha256:84588b5b5bb807341063f6ce10df1506bf9f408a1122a77bdb166891d008748a', 'err': 'None'}
gcr.io/google-containers/hyperkube-s390x v1.7.0-beta.1 {'date': '20170730', 'ok': True, 'err': 'None', 'digest': u'sha256:c4a023beb7f65e7d6c6a11e8f054cfa97b7afe047e15795f68881d341bbd5c67'}
gcr.io/google-containers/hyperkube-s390x v1.7.0-beta.2 {'date': '20170730', 'ok': True, 'digest': u'sha256:02ba37b5d24f5d7ad085f0a57ad98e46b9095e5379216e2fcb8af38ebb28db23', 'err': 'None'}
gcr.io/google-containers/hyperkube-s390x v1.9.2-beta.0 {'date': '20180105', 'ok': True, 'err': 'None', 'digest': u'sha256:2513cb155537d37e887205c7fbd62672e958b45c49840aa899392cfc264895da'}
gcr.io/google-containers/hyperkube-s390x v1.8.12 {'date': '20180424', 'ok': True, 'digest': u'sha256:0b37588ff1e5133dbff071832a0c64f520edadf61bf997d5c8fc0dbcfe2064a6', 'err': 'None'}
gcr.io/google-containers/hyperkube-s390x v1.12.7-beta.0 {'date': '20190227', 'ok': True, 'digest': u'sha256:b94a4723ba263f66136a7474a8d209a705acb91e07fa8385140c712e7cb3e1c5', 'err': 'None'}
gcr.io/google-containers/hyperkube-s390x v1.10.3-beta.0 {'date': '20180427', 'ok': True, 'err': 'None', 'digest': u'sha256:26c848024afdc5dc99db93e0595a8e7a390531e2f81974f9451582e63a990834'}
gcr.io/google-containers/hyperkube-s390x v1.10.12-beta.0 {'date': '20181127', 'ok': True, 'err': 'None', 'digest': u'sha256:71420ab3b9a36ac867af9f28f56279832078979afeaf35280e0ac304a0eef2ac'}
gcr.io/google-containers/hyperkube-s390x v1.8.7-beta.0 {'date': '20171222', 'ok': True, 'err': 'None', 'digest': u'sha256:fcf804db8c3d5e4946068a7b8f6e3e6a489bea17b4d3a7f7353a484b113f6b47'}
gcr.io/google-containers/hyperkube-s390x v1.12.5-beta.0 {'date': '20181218', 'ok': True, 'err': 'None', 'digest': u'sha256:a7dd97139bc0d6cae69d16386ea846b8ab9650bcf3a043d71941e3770e2baa2c'}
gcr.io/google-containers/hyperkube-s390x v1.13.0-alpha.3 {'date': '20181031', 'ok': True, 'digest': u'sha256:f4f36fdbe29c67c79bd9c84b93527d61dab86eb5148cb33d29d6155efaeee585', 'err': 'None'}
gcr.io/google-containers/hyperkube-s390x v1.8.4-beta.0 {'date': '20171109', 'ok': True, 'err': 'None', 'digest': u'sha256:39bb49df8645c8edab17a89ce2c6d390322a0078b72e115cb88c42715da557bf'}
gcr.io/google-containers/hyperkube-s390x v1.14.0-beta.1 {'date': '20190227', 'ok': True, 'err': 'None', 'digest': u'sha256:129192c9737b7b64c86f92f4c74c9771d2c1e3923b5b998a12c03d33314525be'}
gcr.io/google-containers/hyperkube-s390x v1.14.0-beta.0 {'date': '20190219', 'ok': True, 'digest': u'sha256:149a997d0458d18db90910953adf0b20eb281f76f0d2d4bc6f31ffe605249470', 'err': 'None'}
gcr.io/google-containers/hyperkube-s390x v1.9.3-beta.0 {'date': '20180119', 'ok': True, 'err': 'None', 'digest': u'sha256:90ae09646b56a6fae35d25fc4b859e63e7dae1e6697f8ca860ed0b7f625cd387'}
gcr.io/google-containers/hyperkube-s390x v1.7.11-beta.0 {'date': '20171104', 'ok': True, 'err': 'None', 'digest': u'sha256:424d6cba29b349e53f0da3210749c856dde533b83df00a9f7f47fdb09eafa05c'}
gcr.io/google-containers/hyperkube-s390x v1.9.5-beta.0 {'date': '20180313', 'ok': True, 'err': 'None', 'digest': u'sha256:484d3b028d242b496ce616f4b4745afd4b3804054b9afc1ef53b3652bb828bc7'}
gcr.io/google-containers/hyperkube-s390x v1.7.4-beta.0 {'date': '20170805', 'ok': True, 'digest': u'sha256:e93e22d9ddb36810873d1ad3910ca622ea348b9c0e8e41fb1f84df398f965020', 'err': 'None'}
gcr.io/google-containers/hyperkube-s390x v1.11.7-beta.0 {'date': '20181217', 'ok': True, 'err': 'None', 'digest': u'sha256:3f9cf1898de915dc9f77d3c638a16717a0f7e2d62593ced342336dcba4c8a028'}
gcr.io/google-containers/hyperkube-s390x v1.7.8-beta.0 {'date': '20170929', 'ok': True, 'digest': u'sha256:d49791aa02fbfdbfbcfc1c42b3269c716ad6188baf860da8f8927f679d5829fb', 'err': 'None'}
gcr.io/google-containers/hyperkube-s390x v1.8.11 {'date': '20180406', 'ok': True, 'err': 'None', 'digest': u'sha256:b4267978af072a0a519811c4423393168c5435fa8a1767a811e49e4e0c54261b'}
gcr.io/google-containers/hyperkube-s390x v1.8.10 {'date': '20180320', 'ok': True, 'err': 'None', 'digest': u'sha256:c867965f903aa13cb7fa83bc5f58fce3fcbf811835533227fea6e0df944cb2a7'}
gcr.io/google-containers/hyperkube-s390x v1.8.13 {'date': '20180516', 'ok': True, 'err': 'None', 'digest': u'sha256:8c0bd424f4208b54cd5a6cd3fcbf55a319ac5cb0260f25cee7d847555635c7a2'}
gcr.io/google-containers/hyperkube-s390x v1.7.5-beta.0 {'date': '20170819', 'ok': True, 'digest': u'sha256:e71d65a9b4279da496b220d32a711bc796faaf9128f643de60f542823c6bb7a4', 'err': 'None'}
gcr.io/google-containers/hyperkube-s390x v1.8.15 {'date': '20180712', 'ok': True, 'digest': u'sha256:6f85f177cd14a9f92f4277511fa94483ae6dea93b9d9162a265e7a701b190b77', 'err': 'None'}
gcr.io/google-containers/hyperkube-s390x v1.8.14 {'date': '20180620', 'ok': True, 'err': 'None', 'digest': u'sha256:ab245983bb46063aa51e75e6b01bd65c2c5e7dc82ead1a091319a3a440bf6d14'}
gcr.io/google-containers/hyperkube-s390x v1.6.3-beta.0 {'date': '20170731', 'ok': True, 'digest': u'sha256:d353bbc5168ec3c5d5f2620166091d5fb96c2c28b856a73b214599fd22016fab', 'err': 'None'}
gcr.io/google-containers/hyperkube-s390x v1.13.1-beta.0 {'date': '20181204', 'ok': True, 'err': 'None', 'digest': u'sha256:ca551d91129a2f9447a7a2a421da1d45ff85bb658fb6eb8c8af6206ff160a7c9'}
